name,city,tags,rating,crowd_pattern
Kempty Falls,Dehradun,"waterfall, nature, relaxed",4.3,weekend_high
Rumtek Monastery,Gangtok,"religious, culture, history",4.6,weekend_high
Rameswaram,Ramanathapuram,"religious, beach, history",4.7,festival_high
Tawang Monastery,Tawang,"religious, culture, history",4.8,festival_high
Shalimar Bagh,Srinagar,"nature, history, relaxed",4.6,weekend_high
Keibul Lamjao National Park,Bishnupur,"wildlife, nature, adventure",4.6,low
Om Beach,Gokarna,"beach, sunset, relaxed",4.6,weekend_high
Vantawng Falls,Serchhip,"waterfall, nature, relaxed",4.6,low
Ayodhya Ram Mandir,Ayodhya,"religious, culture, history",4.9,festival_high
Silent Valley,Palakkad,"wildlife, nature, hiking",4.8,low
Chandipur Beach,Balasore,"beach, nature, relaxed",4.5,low
Kalpeni Island,Lakshadweep,"beach, sunset, relaxed",4.5,low
Bangaram Island,Lakshadweep,"beach, party, relaxed",4.9,low
Ghoghla Beach,Daman and Diu,"beach, adventure, sunset",4.5,low
Rani ki Vav,Patan,"history, culture, relaxed",4.8,weekend_high
Jog Falls,Shimoga,"waterfall, nature, relaxed",4.8,weekend_high
Tadoba Andhari,Chandrapur,"wildlife, nature, adventure",4.8,weekend_high
Papikondalu,East Godavari,"nature, relaxed, adventure",4.5,low
Sela Pass,Tawang,"nature, adventure, relaxed",4.7,weekend_high
Palolem Beach,Goa,"beach, sunset, relaxed",4.7,low
Gwalior Fort,Gwalior,"history, culture, sunset",4.7,weekend_high
Lingaraj Temple,Bhubaneswar,"religious, culture, history",4.8,festival_high
Kufri,Shimla,"nature, adventure, relaxed",4.4,weekend_high
Kaziranga National Park,Golaghat,"wildlife, nature, adventure",4.9,weekend_high
Kovalam Beach,Thiruvananthapuram,"beach, sunset, relaxed",4.5,weekend_high
Manali Mall Road,Kullu,"shopping, culture, food",4.5,weekend_high
Cellular Jail,Andaman and Nicobar,"history, culture, relaxed",4.8,weekend_high
Majuli Island,Majuli,"culture, nature, relaxed",4.8,festival_high
Sukhna Lake,Chandigarh,"nature, sunset, relaxed",4.6,weekend_high
Bastar Palace,Jagdalpur,"history, culture, relaxed",4.3,low
Amarnath Cave,Anantnag,"religious, hiking, nature",4.8,festival_high
Triveni Ghat,Dehradun,"religious, culture, sunset",4.8,festival_high
Rock Garden,Chandigarh,"culture, nature, relaxed",4.5,weekend_high
Yercaud,Salem,"nature, relaxed, sunset",4.4,weekend_high
Srisailam,Nandyal,"religious, nature, history",4.7,festival_high
Murdeshwar Temple,Murdeshwar,"religious, beach, sunset",4.7,festival_high
Munnar,Idukki,"nature, relaxed, sunset",4.8,weekend_high
Dhuandhar Falls,Jabalpur,"waterfall, nature, relaxed",4.6,weekend_high
Kapaleeshwarar Temple,Chennai,"religious, culture, history",4.7,festival_high
Phawngpui,Lawngtlai,"hiking, nature, adventure",4.6,low
Bhimashankar,Pune,"religious, nature, hiking",4.6,festival_high
Rumi Darwaza,Lucknow,"history, culture, relaxed",4.5,weekend_high
Chilika Lake,Ganjam,"nature, wildlife, relaxed",4.7,weekend_high
Dalhousie Khajjiar,Chamba,"nature, relaxed, sunset",4.7,weekend_high
Elephanta Caves,Mumbai,"history, culture, religious",4.5,weekend_high
Tarkarli Beach,Sindhudurg,"beach, adventure, relaxed",4.6,low
Laxmi Vilas Palace,Vadodara,"history, culture, relaxed",4.7,weekend_high
Fontainhas,Goa,"culture, history, relaxed",4.5,low
Darjeeling Mall Road,Darjeeling,"shopping, relaxed, food",4.6,weekend_high
Kudle Beach,Gokarna,"beach, sunset, party",4.5,weekend_high
